Center_x,Center_y
692.294,194.096
691.96,194.093
692,194.5
692,193.5
691,194
690.557,194.199
690.297,194.208
690.5,194.5
690,193.5
690.5,194
690,195
689.431,194.254
689.326,194.217
689.5,194
689.5,193.5
689.5,194
689.5,194
688.557,193.719
688.581,193.673
689.5,193.5
689.5,192
689.5,192
689.5,193
685.078,193.002
685.265,192.786
689.5,192.5
689.5,191.5
689.5,191.5
690,191.5
689.5,192
679.633,193.203
679.555,193.083
689.5,190.5
689.5,189.5
689.5,188.5
689.5,188
689.5,187
689,188
689,186
689,185
689,184.5
688.5,184.5
683.441,187.185
688,184.5
688,184
688,183
688,182.5
687.5,181
688,180.5
687.5,181.5
687.5,181.5
687.5,181.5
688,180.5
687,180
687,179
687,178.5
687.5,178.5
687.5,179.5
687.5,180
687.5,179.5
687.5,179
688.5,178.5
688,178
688,178
688,178
688.5,177.5
688.5,178.5
688.5,179.5
688.5,180
688.5,180.5
689,181
688.5,180.5
689,181
689,181
689,181.5
689,182
689,183.5
689.5,185
689.5,185
689.5,185
690,186
689.5,186.5
690,187.5
690,189
690.5,190.5
690.5,191.5
683.07,194.671
683.088,194.947
690.5,194.5
690.5,195
691.5,196
691.5,196.5
691.5,196
691.5,197
691.5,198
692.5,199.5
692,201
683.843,197.421
692,201
692,202.5
692.5,202
692.5,202.5
692.5,203
692.5,204.5
675.23,196.792
675.229,197.134
693,206.5
693,206.5
693,207
693,207.5
693.5,207.5
693,208.5
693,210
675.26,199.104
675.261,199.15
675.259,199.162
694,211
694,212
694,212
694,212
694,213
694.5,212.5
694.5,214
694.5,215
675.349,201.617
675.349,201.659
675.385,202.103
694.5,217
694.5,218
694.5,218
695.5,218.5
695,218.5
695.5,218.5
675.475,202.683
675.474,202.673
675.475,202.7
675.475,202.859
675.478,202.863
675.478,202.864
675.486,202.881
675.545,203.074
675.544,203.153
675.554,203.141
675.556,203.179
675.548,203.25
675.548,203.314
675.548,203.314
675.548,203.385
675.548,203.383
675.548,203.385
675.548,203.385
675.533,203.388
675.533,203.402
675.533,203.402
675.534,203.399
675.534,203.399
675.473,203.394
675.473,203.394
675.474,203.382
675.472,203.377
675.472,203.378
675.468,203.331
675.477,203.331
675.462,203.334
675.463,203.238
675.465,203.095
675.452,203.103
675.452,203.076
675.443,203.049
675.443,203.039
675.441,203.014
675.437,203.022
675.435,203.022
675.429,203.009
675.428,202.995
675.433,202.983
675.433,202.979
675.445,202.97
675.454,202.954
675.455,202.934
