Center_x,Center_y
720,147.5
720,147
720,148
720,148
720,146.5
720,146
720,146
722.857,154.276
719.5,146
719.5,148
719,147
719,146.5
718.502,153.446
719,145.5
719,147
719.5,147.5
719.5,146.5
719.5,146.5
719.5,146
719.5,146.5
720.5,147
720.5,148.5
721,147.5
721.303,148.785
729.907,153.446
729.907,153.446
722,147
723,148.5
723,148
724,149
724.5,148.5
725,147.5
726,149
726.5,146.5
727,146.5
727.5,146.5
728.5,146
728.5,145.5
729.5,144.5
729.5,145.5
730.5,145.5
731,145.5
731.5,146
732,145.5
732,144
732.5,143
733,143
733,143
734,144
734,144.5
734,144.5
735,144
735,143.5
735,143
735.5,142
735.5,142
736,142.5
736.5,142.5
736.5,142
736.5,142
736.5,142.5
737.5,143
737.5,143
737.5,143
737.5,143.5
737.5,143.5
737.5,144
737.5,144.5
737.5,145
738,144.5
738,145.5
738,146
738,146.5
738,147
738,147
739,147
739,146
739,146
740,146.5
740,146
741,145.5
741,146
741.5,146
742,145.5
742,145.5
742,146
742,146
743,146.5
743,147
743,147.5
743.5,147.5
743.5,148
743.5,148
744,148
744,148
744,148
744,148.5
743.5,148.5
743.5,148
743.5,148.5
743.5,149
743,149.5
742.5,149.5
742.5,149.5
742,149.5
742,148.5
741.5,149
741,149
741,149
740.5,149.5
740,149.5
740,150
739.5,150
739,151
739,151
738.5,152.5
738,153
737.5,153
737.5,154.5
736.5,154.5
736.5,154.5
735.5,155
735.5,154.5
734.5,155
734,155.5
733.5,155
733,157
732.5,158
732,159
731.5,158.5
730.5,158.5
730,158.5
729.5,161
729,162.5
728.5,163.5
728,164.5
728,165
727,165.5
726,166.5
726,167.5
726,168
725,168.5
725,169.5
725,171.5
724.5,171.5
724,171
724,171.5
724,172.5
724,173.5
724,174
724,174
725,173.5
724,175
724,176.5
725,176
724.5,176.5
724.5,176.5
724.5,178
732.672,183.168
725,178.5
725,178.5
726,179.5
725,180.5
745.459,182.477
726,180.5
726,180.5
726,181.5
726,182
725.957,182.394
726.013,182.783
726,183.5
726,182
726.5,183
726,184.5
745.61,182.753
726.5,184.5
726.5,185
726.5,185
726.5,186
722.65,190.771
712.282,190.771
712.336,191.034
727,188.5
727,188
727.5,187
727.5,188.5
731.981,194.918
731.981,194.918
728,189.5
728,189.5
728,190
728.308,189.592
728.5,190.5
728.5,190
728.5,190
728.308,189.592
728.308,189.592
728.308,189.592
728.5,192
728,192.5
728,192.5
744.211,194.952
734.054,199.066
734.011,199.109
733.894,199.153
727.5,193
727.5,193
727,193
727,194
726.5,195
726,193.5
725.5,193.5
726,194
725,195
724.5,196
724,195
723.5,194
723.5,195.5
723,197
722.5,196.5
722,196
721.5,196
721,197
721.851,197.022
721.851,197.022
719.5,199
719,199.5
719,199.5
718,200.5
731.808,203.904
731.214,204.271
716.5,201.5
716,202.5
715.5,202.5
714.828,202.939
714.167,203.394
714,204
713,204.5
712.5,204.5
711.5,205
734.182,203.568
733.478,203.85
709,206.5
708.5,206.5
708,207
707,208
695.909,212.034
695.323,212.53
705,209
704,209
703,209.5
702,210.5
712.8,210.816
712.8,214.272
700,211.5
699,211.5
698,212
697,212.5
713.318,215.654
712.45,215.703
711.702,215.713
682.214,215.654
706.752,217.728
692.582,215.654
692.086,215.392
692,212
692,211.5
691,211.5
671.846,215.654
675.36,218.88
674.991,218.424
680.832,210.816
690.5,209
689,208.5
688.5,208.5
688,207.5
687.5,207
687,206
687,205.5
686.5,206
686,206
684.288,211.507
685.5,205.5
685,205.5
684.5,204.5
684,204
683.5,204
683,203
682.5,202.5
682,202
682,203
681,203
696.526,198.863
681,201.5
680.5,201
680,200.5
680,200
680,201
660.209,198.901
679.5,201.5
679,201
679.5,200
679.5,199.5
679.5,199.5
679.5,199.5
679.5,200
680,200.5
680.03,200.134
702.95,203.213
703.397,202.96
681,199
681,199
681.5,198.5
681.5,197.5
682.5,196.5
682.5,197
683.5,198
660.908,199.013
684,199
697.102,203.324
685,198
685.5,198
686,197.5
686.5,197.5
686.5,197
687,197.5
687.5,198
688,198.5
688.56,198.621
682.214,199.066
689,198.5
690,198.5
690.5,198.5
691,198
692,197.5
692.5,197.5
693,198
694,198.5
694,199
694,198.5
713.318,199.066
696,198.5
697,198
697.5,198.5
698,198
699,198.5
699,198
700,199
701,199
701,199.5
702,200
702.292,200.06
694.656,207.36
703,200
704,198.5
704,199
704.5,199
705,198.5
705.5,198.5
705.5,198.5
706,199
706.5,199
714.355,199.066
706.5,200
707,200
707,199
707,199
707,199
707,199
707,199
707,198
707,199
707,200
707.5,199.5
706.5,199.5
706.5,199.5
706,199.5
705.5,199.5
706,199.5
705.5,199.5
705.5,199.5
705.5,199
705.5,199
705.5,198.5
705,198.5
705,198.5
705,198.5
705,198
705,198
705,198
705,198
705.888,203.904
705,197
705,197
705.5,196
705.5,195
706.5,194
706,194
706,194
706,193.5
706,193
706,192.5
706,192.5
706,192.5
705,192
705,192
705,192
705,192
705,192
704,192
703.5,192.5
703,191.5
702.5,192.5
694.235,196.551
701.5,192.5
701.5,191.5
700.5,191.5
700.5,191
699.5,191
698.5,190
698,189
697.5,189
696.5,188.5
696,188.5
695,187.5
694,188
693.5,188.5
692.5,189
692,188.5
691,187.5
690.5,187.5
689.5,187
688.5,186.5
688,186.5
687,186
686,186
685,187.5
684.5,187.5
679.885,193.73
678.926,193.71
681.5,187
680.5,187
680,186.5
679.5,187
678.5,187.5
680.048,193.565
677.5,187.5
676,188
675.5,187.5
675.5,186.5
674,187.5
679.104,190.771
673,189.5
672,188.5
671.5,188
671,188.5
670,189.5
670,189.5
669,190
669,188.5
668,188.5
668,188.5
667,188
667,188
666,187.5
666,188
665.5,188.5
665,189
665,189
664.5,188
664,188
663,187.5
664.5,187.5
664,187
664,187
664,187.5
664,185.5
664,185
664,185
665,185
665,185.5
666,185.5
666,185
666,185
666.5,184
668,184
667.5,184
668,183.5
668,183
668.5,183
669,183.5
680.837,186.531
680.873,186.542
669,183
671,183
670,182.5
670.5,183
672,183.5
671,184
671.5,182.5
671.5,182.5
671.5,182
672.5,183
673,183.5
673.5,182.5
674,181.5
674.5,180.5
675.5,181.5
675,187.2
675,187.2
677.5,180
678.5,179.5
679.5,178.5
680.5,178.5
681.5,179.5
682.5,178.5
683.5,177.5
684.5,176.5
685,176
686,177.5
687,176
688,176
688.5,175
689.5,175
690.5,176
692,176.5
692.5,176.5
693.5,175
694.5,175
695.5,175.5
696.5,175
697.438,174.955
698.124,174.818
699.5,174.5
700.5,174.5
701.5,173.5
702,174
702.5,174.5
707.548,169.349
715.392,176.256
705,174
705.5,174
706,173.5
706.5,173.5
707.5,174
707.5,174.5
708.5,175.5
698.112,172.8
709,176.5
709.5,175
709.5,175.5
710.5,175
710.5,175
710.5,174
711.5,174.5
712,175.5
712.5,174.5
712.5,174.5
712.5,173
713.5,172
713.5,172
713.5,172
713.5,171.5
713.5,172
713.5,170
714.5,169.5
714.5,168.5
714.5,168.5
714.5,169
714.5,168.5
